ID,Name,Grade,Grade text,Generation,Total
1,آبي اللحم الغفاري,1,صحابي,1,1
2,آدم بن أبي إياس,3,ثقة,9,671
3,آدم بن سليمان القرشي,3,ثقة,7,2
4,آدم بن علي العجلي,4,صدوق حسن الحديث,3,6
5,أمية بنت الحكم الغفارية,1,صحابي,1,3
6,آمنة القيسية,7,مجهول الحال,3,2
7,آمنة بنت محصن الأسدية,1,صحابي,1,13
8,أم حرام,8,ضعيف الحديث,4,1
9,أبان بن أبي عياش العبدي,10,متروك الحديث,5,260
10,أبان بن إسحاق الأسدي,3,ثقة,6,6
11,أبان بن تغلب الجريري,4,صدوق حسن الحديث,7,80
12,أبان بن خالد الحنفي,4,صدوق حسن الحديث,6,3
13,أبان بن صالح القرشي,3,ثقة,5,132
14,أبان بن صمعة الأنصاري,3,ثقة,7,10
15,أبان بن طارق البصري,10,متروك الحديث,6,7
16,أبان بن عبد الله البجلي,4,صدوق حسن الحديث,7,29
17,أبان بن عثمان الأموي,3,ثقة,3,43
18,أبان بن يزيد العطار,3,ثقة,7,279
19,أبو أحمد بن علي الكلاعي,10,منكر الحديث,6,2
20,أبو أرطاة الكوفي,6,مقبول,3,1
21,أبو أروى الدوسي,1,صحابي,1,3
22,أبو أسماء الصيقل,6,مقبول,4,3
23,أبو أسماء مولى عبد الله بن جعفر,3,ثقة,3,1
24,أبو أفلح الهمداني,4,صدوق حسن الحديث,5,2
25,أبو أمامة التيمي,3,ثقة,4,3
26,أبو أمية المخزومي,1,صحابي,1,3
27,أبو أمية الفزاري,1,صحابي,1,1
28,أبو أمين الشامي,6,مقبول,3,3
29,أبو أيوب الشامي,9,مجهول,3,2
30,أبو إبراهيم الأشهلي,6,مقبول,3,4
31,أبو إدريس البصري,6,مقبول,3,2
32,أبو إدريس السكوني,6,مقبول,6,1
33,أبو إسحاق الأشجعي,9,مجهول,8,2
34,أبو إسحاق مولى بني هاشم,6,مقبول,3,4
35,أبو إسحاق مولى ابن الحارث الهاشمي,6,مقبول,3,4
36,أبو إسرائيل الأنصاري,1,صحابي,1,1
37,عيسى العنسي,4,صدوق حسن الحديث,3,3
38,أبو الأحوص مولى بني ليث,8,ضعيف الحديث,3,21
39,سعد بن الأخرم الطائي,8,مختلف في صحبته ، والراجح أنه تابعي ضعيف الحديث,2,4
40,أبو الأزهر المصري,6,مقبول,2,4
41,أبو الأسود الغفاري,6,مقبول,4,3
42,أبو الأشد السلمي,6,مقبول,4,2
43,أبو الأعين العبدي,8,ضعيف الحديث,7,2
44,أبو الجارية العبدي,9,مجهول,10,1
45,أبو الجراح البهزي,9,مجهول,7,7
46,أبو الجعد,7,مختلف في صحبته,2,5
47,أبو الحسن الجزري,9,مجهول,6,3
48,أبو الحسن الكوفي,9,مجهول,6,2
49,أبو الحسن مولى عبد الله بن الحارث الهاشمي,3,ثقة,4,3
50,أبو الحسن العسقلاني,6,مقبول,7,2
51,أبو الحسن,6,مقبول,10,1
52,أبو الحسن الأسدي,6,مقبول,3,5
53,أبو الحكم مولى بني ليث,9,مجهول,3,3
54,أبو الخطاب المصري,9,مجهول,3,2
55,أبو الخطاب,9,مجهول,6,5
56,أبو الرباب مولى معقل بن يسار,6,مقبول,3,1
57,أبو الربيع المدني,4,صدوق حسن الحديث,4,7
58,أبو الربيع الحنظلي,10,متروك الحديث,4,3
59,رداد الليثي,6,مقبول,2,2
60,أبو الرصافة الباهلي,4,صدوق حسن الحديث,3,1
61,أبو الرقاد العبسي,7,مجهول الحال,4,4
62,أبو السعدى,1,صحابي,1,2
63,أبو السنابل بن بعكك القرشي,1,صحابي,1,2
64,أبو الشماخ الأزدي,9,مجهول,3,1
65,أبو الشمال بن ضباب,9,مجهول,3,1
66,أبو الصلت بياع المزاد,9,مجهول,6,1
67,أبو الصلت الثقفي,6,مقبول,3,2
68,أبو الصلت,9,مجهول,6,1
69,أبو الصهباء الكوفي,4,صدوق حسن الحديث,6,6
70,أبو الضحاك,6,مقبول,3,2
71,أبو العجلان المحاربي,6,مقبول,4,2
72,أبو العجلان,9,مجهول,3,1
73,منيع بن سليمان,7,مجهول الحال,6,3
74,أبو العذراء,7,مجهول الحال,3,1
75,أبو العلاء الشامي,9,مجهول,5,2
76,أبو الغادية اليمامي,1,صحابي,1,4
77,أبو الغوث بن الحصين الخثعمي,7,مختلف في صحبته,1,1
78,أبو الفضل,9,مجهول,4,1
79,أبو الفضل بن خلف الأنصاري,9,مجهول,6,2
80,أبو القاسم بن أبي الزناد,4,صدوق حسن الحديث,9,25
81,أبو المؤمل الشامي,6,مقبول,5,1
82,أبو المبارك,9,مجهول,6,4
83,أبو المثنى الجهني,3,ثقة,3,4
84,أبو المثنى,6,مقبول,3,1
85,أبو المخارق المحاربي,6,مقبول,,1
86,أبو المخارق العبدي,9,مجهول,4,1
87,أبو المخيس اليشكري,6,مقبول,3,2
88,أبو المعتمر بن عمرو المدني,6,مقبول,6,2
89,أبو المعلى بن لوذان الأنصاري,1,صحابي,1,4
90,أبو المغيرة الخصاف,9,مجهول,3,3
91,أبو المنذر الغفاري,6,مقبول,2,3
92,أبو المنيب الجرشي,3,ثقة,4,7
93,أبو النضر السلمي,1,صحابي,1,1
94,أبو النعمان,9,مجهول,6,2
95,عامر بن نصر الأسلمي,6,مقبول,3,2
96,أبو الواصل,9,مجهول,3,1
97,أبو الورد بن ثمامة القشيري,6,مقبول,6,14
98,أبو الوليد,5,صدوق يخطئ,4,1
99,أبو الوليد مولى عمرو بن خراش,3,ثقة,4,5
100,أبو بحر,9,مجهول,3,2
101,أبو بردة الظفري,1,صحابي,1,7
102,أبو بردة بن قيس,1,صحابي,1,25
103,أبو بسرة الغفاري,6,مقبول,4,5
104,أبو بشر الشامي,4,صدوق حسن الحديث,6,7
106,أبو بكر العنسي,8,ضعيف الحديث,7,7
107,أبو بكر المديني,8,ضعيف الحديث,7,6
109,أبو بكر بن أبي زهير الثقفي,6,مقبول,3,6
110,أبو بكر بن أبي موسى الأشعري,3,ثقة,3,40
111,أبو بكر بن أنس الأنصاري,4,صدوق حسن الحديث,4,7
112,أبو بكر بن إسحاق,8,ضعيف الحديث,6,1
113,أبو بكر بن المنكدر,3,ثقة,4,12
114,أبو بكر بن أبي النضر,3,ثقة,11,64
115,أبو بكر بن النضر الأنصاري,6,مقبول,5,6
116,أبو بكر بن سالم العدوي,3,ثقة,3,7
117,أبو بكر بن سليمان العدوي,3,ثقة,3,32
118,أبو بكر بن عبد الرحمن المخزومي,3,ثقة,3,97
119,أبو بكر بن أبي الجهم العدوي,3,ثقة,4,25
120,أبو بكر بن عبد الله الأسدي,7,مجهول الحال,6,2
121,أبو بكر بن أبي سبرة القرشي,11,متهم بالوضع,7,179
122,أبو بكر بن أبي مليكة التيمي,3,ثقة,3,42
